L5	S1	S2	S3	S4	S5	S6
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0	0.01821258648851037	0.0	0.0	0.9817874135114897	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	0.9129078111784048	0.08709218882159528	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.4762812451314232	0.5004835011046697	0.0	0.0	0.02323525376390698	0.0
Bacteria;?;?;?;?;?	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.99957134840494	0.00042865159506006627	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.033640743749974125	0.9663592562500258	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.7938202421573953	6.1352288030683125e-09	0.014379050086487702	0.1918007016208881	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1326	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2070	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;?;?	0.19015749629374754	0.7892337052569781	0.0	0.02060879844927444	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium	0.776966140727119	0.0	0.0	0.11241505055250317	0.0726978297125154	0.03792097900786239
Bacteria;Firmicutes;Bacilli;?;?;?	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;?;?;?	0.03897221801447282	0.9610277819855272	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;CAG-977	0.0	0.09347677354398179	0.9065232264560182	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;RUG410	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-448	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;HGM11416	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS902	0.045965663272561866	0.9540343367274382	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faeciplasma	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177	0.09422648625311714	0.9057735137468828	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;UBA1829;UBA1829	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas	0.601583317621653	0.035322285639270604	0.09747023094975518	0.26562416578932124	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;UBA7173	0.8634807080980654	0.13651929190193463	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;CAG-267	0.2055231258033792	0.24231765950885417	0.0	0.5521592146877666	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium	0.29929134872900065	0.00011723926976120631	0.23411468685535897	0.4664767251458791	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium	0.6219343675199375	0.0	0.00426957901416155	0.37379605346590095	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	0.4523733466328898	0.21967539699370175	0.32795125637340855	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;?	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	0.6160378920831258	0.08555640968476239	1.6097694359069589e-09	0.2984056966223425	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;UBA11524	0.5061186864962374	0.4938813135037626	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-417	0.34568394207378617	0.6543160579262137	0.0	0.0	0.0	0.0
