L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.0	7.540947009949399e-07	0.2255028309900877	0.7744964149152113	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.0	0.0	0.5998274098374027	0.4001725901625974	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0	0.0	0.007476009850694674	0.7051298772176088	0.0	0.0	0.28739411293169653	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.0	0.0	0.9769525501729632	0.023047449827036732	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.0	0.0	0.06176295685282272	0.9382370431364679	0.0	0.0	1.0709277245150486e-11	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	0.0	0.0	0.9670217385331281	0.03297826146687177	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.0	0.039776253560859426	0.5301810577222076	0.430042688716933	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.0	0.0	0.0	1.5241506274713888e-12	0.9999013069422956	0.0	9.869305618026903e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.0	0.0	0.17053238631808337	0.14565418604666436	0.0	0.0	0.230037745204766	0.45377568243048616
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.9902982565283481	0.0	0.009701743471651805	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.060635151588443494	0.0	0.6611200188300169	0.2782448295229191	0.0	0.0	5.862032764450742e-11	0.0
Bacteria;?;?;?;?;?	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.0	0.0	0.00921120553526996	0.99078879446473	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.0	0.0	0.9974229997409558	0.0025770002590442373	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.0	3.577365781788646e-05	3.7921685548211396e-09	0.9101469270520495	0.08624497344549407	0.0	0.003572322052470027	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1326	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2070	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;?;?	0.0	0.0	0.6601935827529691	0.051858071273850996	0.0	0.0	0.2879483459731798	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium	0.0	0.0	0.0017611180629785804	0.05170198886997533	4.191465443270718e-06	0.0	0.9465327016016029	0.0
Bacteria;Firmicutes;Bacilli;?;?;?	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
