	model_fit
X86.ABX.1M	0.24537096601289182
X86.ABX.6M	0.9874604227221191
XS121.1M	0.9118217377237863
XS164.1M	0.4962467122855715
Aa1	0.370559890459223
Aa2	0.26220516605454675
Aa3	0.3398616031554713
Aa4	0.5794810527703261
Aa5	0.8468540694651252
Aa6	0.9598330816346482
Aa7	0.9530402647958117
Aa8	0.9929531931326782
Aa9	0.8122475851583875
Aa10	0.7924284582863453
Aa11	0.6097926331063352
Aa12	0.5612515236759686
Aa13	0.8101778248786292
Aa14	0.8345365401653518
Aa15	0.9997498824651733
Aa16	0.8312711432030253
Aa17	0.7281576331761124
Aa18	0.9754583190001929
Aa19	0.9815719276743236
Aa20	0.9718944478122074
Aa21	0.9862039676696356
Aa22	0.8327348721699294
Aa23	0.7698796979247832
Aa24	0.2678891042158318
Aa25	0.6183232888655282
Aa26	0.8065520275090492
Aa27	0.9868220460113349
Aa28	0.5902616117971314
Aa29	0.9916592703573308
Aa30	0.3316198171388062
Aa31	0.7903768176055618
Aa32	0.9630876957384915
Aa33	0.8951468547370404
Aa34	0.5549315882672279
Aa35	0.3784404880918733
Aa36	0.8307916926412318
Aa37	0.9007066076818819
Aa38	0.8940672002418116
Aa39	0.8589998727407723
Aa40	0.950533064762153
Aa41	0.03053974495865897
Aa42	0.12257259563435856
Aa43	0.9540763837015992
Aa44	0.16127287071025645
Aa45	0.6616683682444839
Aa46	0.5899432989680112
Aa47	0.9050134764976618
Aa48	0.9047324779484558
Aa49	0.8848013617098205
Aa50	0.9626173864428091
Aa51	0.6157209193702848
Aa52	0.8092775215242923
Aa53	0.7070191979411432
Aa54	0.5756037771516155
Aa55	0.9901684260878868
Aa57	0.03053974495865897
Aa58	0.4266111817866799
Aa59	0.8597177695620805
Aa60	0.5562590100324024
Aa61	0.9054413203528731
Aa62	0.745413050943126
Aa63	0.9550795302633397
Aa64	0.47172434539002667
Aa65	0.5556326721451121
ABR.1.0	0.7802055949942863
ABR.1.C1	0.7267725286518669
ABR.1.C3	0.4296514099230027
ABR.1.C6	0.6936426218603945
ABR.1.P2	0.6196904136968457
ABR.1.P28	0.5189376381777148
ABR.2.0	0.9055576508185784
ABR.2.C1	0.905377239706281
ABR.2.C3	0.799603936257579
ABR.2.C6	0.7019146726251022
ABR.2.P2	0.8125954881167545
ABR.2.P28	0.9150981925573081
AL.AA1	0.5809615788217909
AL.AA10	0.5544649625150367
AL.AA11	0.6299218994963709
AL.AA12	0.7551265786440343
AL.AA13	0.774961286426536
AL.AA14	0.5103043665954148
AL.AA17	0.6850109470186613
AL.AA18	0.6648198983989588
AL.AA19	0.7101505556217447
AL.AA2	0.6910305358512407
AL.AA20	0.44520391178972746
AL.AA21	0.6460740507744033
AL.AA22	0.5802813953406926
AL.AA23	0.6179055297043069
AL.AA24	0.4353285857305065
AL.AA25	0.6807025123500753
AL.AA26	0.6527753346295588
AL.AA27	0.781830188603419
AL.AA28	0.6805472749969957
AL.AA29	0.9463754619204306
AL.AA3	0.40818832850754205
AL.AA30	0.6043833266824948
AL.AA4	0.699425359796741
AL.AA5	0.8767434933636108
AL.AA6	0.3956610180306943
AL.AA7	0.8166996049404333
AL.AA8	0.8111742274695737
AL.AA9	0.7103322998590289
AL.APLV1	0.6385409410976801
AL.APLV10	0.7287660429309896
AL.APLV11	0.36479758738076745
AL.APLV12	0.27401940291477495
AL.APLV13	0.21022083984068457
AL.APLV14	0.4846155559819564
AL.APLV15	0.6169648738986336
AL.APLV16	0.5110243920107371
AL.APLV17	0.6197727599683996
AL.APLV18	0.4576590410819318
AL.APLV19	0.6326454269534877
AL.APLV2	0.5348086963228594
AL.APLV20	0.70329747784851
AL.APLV21	0.5548241449120487
AL.APLV22	0.7060050103750363
AL.APLV23	0.6938279170190197
AL.APLV24	0.6756621448544297
AL.APLV26	0.5683066072594829
AL.APLV27	0.7095527151141029
AL.APLV28	0.16081219814447842
AL.APLV29	0.599674461194931
AL.APLV3	0.26491531884891123
AL.APLV30	0.7044081689116172
AL.APLV4	0.7241577710823637
