L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	0.0	0.0	0.0006963362246513814	0.0	0.0014121887161733545	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	0.0	0.0	0.00022899255950633104	0.0	0.0014819306965526914	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	0.0	0.0	0.0	0.0	0.011506958999793069	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.0	0.0	0.04082650617818062	0.010967287318509699	0.0	4.3592138714494206e-11	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.0	0.0	0.0	0.030418942497777327	0.0	0.004492653276777598	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.0	0.0	0.41075237332399134	0.0024990166163675613	0.0	0.019365760619588862	0.06237724537287913
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1326	0.0	0.0	0.0	0.0005348731784311483	0.0	0.0023380945228870555	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2070	0.0	0.0	0.0	0.0006087441668435801	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;?;?	7.288809795588571e-16	0.0	0.00031293141424043174	0.005197642431107221	0.0	0.00015519362779735547	8.260921958034662e-05
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium	4.02022150053494e-05	0.0	0.06460302720094627	0.007004789400249283	0.0033396000191840206	0.0	0.007889950405681558
Bacteria;Firmicutes;Bacilli;?;?;?	0.0	0.0	0.0	0.0	0.0	4.760180101648013e-05	0.0
