L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.012059550772155484	0.0	2.7967160226485415e-06	0.0004228622744042133	4.858902573223081e-06	0.0	0.9875099313348444
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.0	0.0	0.2867243135523595	0.1904662470337912	0.0	0.5228094394138493	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0	0.9882494497582823	0.0	0.011750550241717676	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.0	0.0	0.22457232075407021	0.6525406472993449	0.04478793198407723	0.07809909996250751	0.0
Bacteria;?;?;?;?;?	0.0	0.0	0.0	0.15393838675792157	0.0	0.8460616132420784	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1754	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS2069	0.0	0.0	0.0	0.33024803793832	0.0	0.66975196206168	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA1259	0.0	0.0	0.0	0.13384151433758487	0.0	0.866158485662415	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UMGS1375	0.0	0.0	0.7882509348620688	0.21174906429628343	0.0	8.416479221702609e-10	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95	0.0	0.0	0.0	0.8713134367793054	0.0	0.12868656322069466	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.0	0.0	0.8298121689840957	0.005048575573584251	0.0	0.03912319165370286	0.12601606378861716
